# vx vy
1.000016 1.000079
1.000106 1.000005
1.000005 1.000024
1.000101 0.999884
0.999793 0.999947
1.000034 0.999981
0.999985 1.000044
0.999999 0.999910
0.999986 0.999956
1.000015 0.999915
1.000021 0.999976
1.000022 0.999920
1.000013 1.000037
0.999961 0.999997
1.000038 1.000079
1.000022 0.999933
1.000021 1.000034
1.000046 1.000006
0.999982 1.000007
1.000095 1.000051
1.000046 1.000026
1.000027 1.000003
0.999806 0.999898
1.000011 1.000067
1.000026 1.000031
1.000023 1.000001
0.999875 1.000032
0.999794 1.000254
0.999974 1.000101
0.999925 0.999866
0.999995 0.999976
1.000033 0.999932
0.999998 0.999996
1.000053 0.999992
0.999971 1.000056
1.000061 0.999961
1.000012 1.000051
0.999975 1.000032
1.000040 1.000031
0.999926 1.000052
0.999977 1.000004
1.000013 0.999949
0.999966 1.000059
0.999958 1.000046
1.000064 1.000022
1.000071 1.000055
0.999950 1.000075
1.000014 1.000019
0.999969 1.000068
1.000001 0.999984
1.000049 1.000027
0.999828 0.999922
1.000008 1.000004
0.999993 0.999980
1.000045 1.000080
0.999998 1.000108
0.999997 1.000054
0.999978 1.000013
1.000037 1.000018
0.999999 0.999990
1.000099 0.999952
1.000036 0.999967
1.000092 0.999964
1.000118 0.999962
0.999962 1.000083
1.000180 0.999910
0.999939 1.000082
0.999918 1.000014
0.999989 0.999928
0.999950 1.000019
1.000022 0.999967
1.000036 0.999987
0.999987 0.999877
1.000036 1.000077
1.000042 0.999998
1.000015 0.999939
1.000017 0.999932
1.000023 0.999992
1.000018 0.999968
0.999978 0.999909
