# vx vy
-0.135639 -1.202065
1.190416 -0.548026
-0.775979 0.957996
0.401785 -0.930739
0.514094 1.219884
0.025317 -1.270891
0.448490 1.348045
0.102010 1.347906
0.539124 1.438562
1.172214 -0.562769
-0.521698 1.455730
0.449754 -0.913001
0.490363 1.439440
1.086923 1.093455
-0.875261 -0.565577
-0.603870 1.165523
-0.684162 -1.220854
-0.241463 -1.337940
-0.911443 0.609706
0.652847 1.402999
1.257337 -0.636593
-0.035825 -1.295821
0.569385 1.421270
0.019704 -1.198079
-0.830054 0.795269
-0.279697 -1.575259
0.198304 -1.392574
0.706837 -0.879223
-0.481454 -1.299264
-0.080587 -1.352112
-0.003788 -1.266418
0.435920 -1.194267
-0.668114 -0.924400
-0.582106 -1.114751
0.105064 -1.328323
0.680533 1.665375
-1.118668 -0.930178
0.480383 -0.870015
-0.962055 -0.182355
0.258992 -1.140051
1.105121 -0.270443
1.384923 1.030955
-0.662702 -1.195288
-0.538749 -1.337857
0.940532 1.386972
-0.043161 -1.293476
-0.936865 0.606965
0.592218 -1.128030
-0.248582 -1.441905
-0.205973 -0.942328
0.023226 0.980082
1.001582 -0.943700
1.527263 0.735338
1.467192 0.477217
-0.645874 1.369695
-1.120837 0.560071
0.975885 1.388681
-0.308985 -1.498681
-0.678669 -1.575689
0.772338 1.420585
-1.034446 -0.158598
0.298669 -1.439485
-0.432852 1.200185
-0.961155 0.759643
-1.089739 1.135694
-1.210566 0.971339
-0.923034 -1.139318
1.379950 0.162433
0.981486 1.000590
-0.541037 -1.392781
